apprehension_date,apprehension_state,apprehension_aor,final_program,final_program_group,apprehension_method,apprehension_criminality,case_status,case_category,departed_date,departure_country,final_order_yes_no,final_order_date,birth_year,citizenship_country,gender,apprehension_site_landmark,unique_identifier,apprehension_date_time,duplicate_likely,file_original,sheet_original,row_original
2025-02-06,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1988,GUATEMALA,Female,ONONDAGA COUNTY,d3d4fee24e2ce5160be0315c7cf31d795d305714,2025-02-06 10:50:19 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,307790
2025-02-06,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2014,GUATEMALA,Female,ONONDAGA COUNTY,0c2a742b5dbffee2b12ce032b92248cfb3ba97dc,2025-02-06 11:03:05 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,17676
2025-02-06,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1987,CUBA,Female,ONONDAGA COUNTY,f0bb2d7f59eb009540df3cea9898356a5286ebdd,2025-02-06 11:07:46 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,349509
2025-02-06,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8D] Excludable / Inadmissible - Under Adjudication by BIA,,,NO,,1987,ECUADOR,Male,ERIE COUNTY,8541bfcc0b4415ebbebc32758b97dc435f0cbc20,2025-02-06 11:21:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,193339
2025-02-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-02-27,ECUADOR,YES,2021-05-28,1988,ECUADOR,Male,"NDD - 26 FEDERAL PLAZA NY, NY",54fabb79cb81621cbd51456a1a78a442ddd3de2a,2025-02-06 11:32:18 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,123459
2025-02-06,NEW YORK,New York City Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-21,HONDURAS,YES,2024-12-16,2006,HONDURAS,Female,"NDD - 26 FEDERAL PLAZA NY, NY",2578ed5f52401de42161f08817130ef9c66e5703,2025-02-06 11:50:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,54517
2025-02-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Law Enforcement Agency Response Unit,2 Pending Criminal Charges,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1985,DOMINICAN REPUBLIC,Male,"NDD - 26 FEDERAL PLAZA NY, NY",3bf105e6e1c163388cd32e871ae8892024c85fcc,2025-02-06 12:08:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,86989
2025-02-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Law Enforcement Agency Response Unit,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1987,DOMINICAN REPUBLIC,Female,"NDD - 26 FEDERAL PLAZA NY, NY",6724cb485fcaa75b51f093d096edb24055ba2d05,2025-02-06 12:20:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,149547
2025-02-06,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Located,3 Other Immigration Violator,ACTIVE,[8E] Inadmissible - ICE Fugitive,,,YES,2024-08-16,2008,MEXICO,Male,SARATOGA COUNTY,b5b78f5c2a5e5af255c9825220f50cb1d8b8333e,2025-02-06 12:29:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,263767
2025-02-06,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-28,MEXICO,YES,2025-03-26,1994,MEXICO,Male,SARATOGA COUNTY,0eb158e1b1e4999de8e86497e825c55147524f09,2025-02-06 12:30:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,21444
2025-02-06,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-05-06,MEXICO,YES,2025-04-29,1980,MEXICO,Male,ALBANY COUNTY,cfe3209c47cef5cf715d90ca20edb859631aa10d,2025-02-06 12:55:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,301879
2025-02-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-27,ECUADOR,YES,2024-06-27,1994,ECUADOR,Male,"NDD - 26 FEDERAL PLAZA NY, NY",f4919f5d487689c5334676b17c83098596f81c87,2025-02-06 12:55:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,354955
2025-02-06,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,Probation and Parole,1 Convicted Criminal,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1997,ECUADOR,Male,ONONDAGA COUNTY,a5082456a696b5115c9a3c1a9a82529a7372de6a,2025-02-06 12:56:33 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,239645
2025-02-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-06-05,VENEZUELA,YES,2025-05-27,1992,VENEZUELA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",7a5132cbba4e50b7b9aa9f668bae80f42ddbcf1d,2025-02-06 13:02:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,177714
2025-02-06,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,3-Voluntary Departure Confirmed,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-05-01,MEXICO,YES,2025-04-17,1982,MEXICO,Male,SARATOGA COUNTY,21adc480ebd2862a446b0e8f79fa3a0201d107ab,2025-02-06 13:51:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,48936
2025-02-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,6-Deported/Removed - Deportability,[16] Reinstated Final Order,2025-03-12,EL SALVADOR,YES,2016-05-13,1994,EL SALVADOR,Male,"NDD - 26 FEDERAL PLAZA NY, NY",e5003c9017e98e4b8aebddfd87cf06179c8858ab,2025-02-06 13:57:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,332582
2025-02-06,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-04-30,MEXICO,YES,2025-04-28,1985,MEXICO,Male,SARATOGA COUNTY,066eba582dd04f1e012569566d5a149065c02b21,2025-02-06 14:29:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,9373
2025-02-06,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Law Enforcement Agency Response Unit,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2008,DOMINICAN REPUBLIC,Male,"NDD - 26 FEDERAL PLAZA NY, NY",fb9c1f059988f0444c72160bf534a77c6a1e927a,2025-02-06 16:12:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,365222
2025-02-07,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-03-27,JAMAICA,YES,2005-01-25,1981,JAMAICA,Male,WENDE CORRECTIONAL FACILITY,a1028ecb11cda8f3bf5c88fb5483f20eb0e995bc,2025-02-07 06:56:36 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,233777
2025-02-07,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,A-Proceedings Terminated,[2B] Deportable - Under Adjudication by BIA,,,NO,,2000,GUYANA,Male,WENDE CORRECTIONAL FACILITY,2f51e23334487314bd6ae9706e37caeb82ac0c5c,2025-02-07 06:59:42 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,68605
2025-02-07,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-07-23,GUYANA,YES,2025-06-04,1999,GUYANA,Male,FUGITIVE OPERATIONS NY STATE,6983bd0c9645360f82caaff112b10ad4c60fbed0,2025-02-07 08:35:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,152942
2025-02-07,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Located,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-02-27,ECUADOR,YES,2024-08-09,1994,ECUADOR,Male,"NDD - 26 FEDERAL PLAZA NY, NY",cc8dd70a9de1dec7d5821f7659d03b43a267d34c,2025-02-07 08:35:47 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,297109
2025-02-07,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Located,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8F] Expedited Removal,2025-04-22,ECUADOR,YES,2018-09-07,1993,ECUADOR,Male,FUGITIVE OPERATIONS NY STATE,04a5cebd7a3a49c1a29ee3788321daa7ae5b1d38,2025-02-07 08:40:03 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,6800
2025-02-07,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Federal Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-02-25,MEXICO,YES,2006-05-15,1980,MEXICO,Male,FEDERAL CORRECTIONAL INSTITUTE RAY BROOK,d2dc34c8b4738a8449ab839f09227a92aad897db,2025-02-07 09:00:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,306353
2025-02-07,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Federal Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-02-25,MEXICO,YES,2023-03-07,1970,MEXICO,Male,FEDERAL CORRECTIONAL INSTITUTE RAY BROOK,6690178dffc7bc6ebf6327ab408803d334d356be,2025-02-07 09:15:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,148685
2025-02-07,NEW YORK,New York City Area of Responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,3-Voluntary Departure Confirmed,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-06-13,EL SALVADOR,YES,2025-06-04,2001,EL SALVADOR,Male,"CIP GENERAL AREA, NON-SPECIFIC",9ef10bcae76b42d67337c07f968df94a72caf42f,2025-02-07 09:15:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,230708
2025-02-07,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,1 Convicted Criminal,ACTIVE,[2A] Deportable - Under Adjudication by IJ,,,NO,,1962,GUYANA,Male,RENSSELAER COUNTY,ae541822e201b5731d264c18d0dfa7629ecb6dc6,2025-02-07 10:36:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,253110
2025-02-07,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-04-30,NICARAGUA,YES,2009-05-20,1978,NICARAGUA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",05e7cf67b8c8fe05b6dcef61d696bf3604db9334,2025-02-07 11:04:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,8621
2025-02-07,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Located,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-02-25,MEXICO,YES,2011-04-29,1984,MEXICO,Male,SARATOGA COUNTY,35569aaaecd6b6c5763081e58341ff47337e9a4e,2025-02-07 11:26:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,77505
2025-02-07,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Located,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1984,VENEZUELA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",e24f6ac7bceb0f6bb8cf4fe03f3f3c10831cc8b3,2025-02-07 12:08:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,328660
2025-02-07,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8G] Expedited Removal - Credible Fear Referral,2025-03-31,HONDURAS,YES,2025-03-11,2005,HONDURAS,Male,ERIE COUNTY,08506a484c70f2fefb97bf0a07de5c6e94c3378d,2025-02-07 15:09:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,12084
2025-02-07,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-11,ECUADOR,YES,2023-01-24,1987,ECUADOR,Male,"NBG GENERAL AREA, NON-SPECIFIC",5d074f7add66c617bd8aa0502c173fd11ce84288,2025-02-07 15:20:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,135025
2025-02-07,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-05-06,ECUADOR,YES,2025-04-28,1993,ECUADOR,Male,"NBG GENERAL AREA, NON-SPECIFIC",f7f35712c1eeac14785c1b1e10fb309a519f2f5d,2025-02-07 16:42:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,359814
2025-02-07,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-05-22,ECUADOR,YES,2025-05-07,1989,ECUADOR,Male,"NBG GENERAL AREA, NON-SPECIFIC",a38faa2d09577ab66f35350ebf9e1cb9aed2ca74,2025-02-07 16:42:13 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,237461
2025-02-08,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-04-07,MEXICO,YES,2025-03-28,1984,MEXICO,Male,"NBG GENERAL AREA, NON-SPECIFIC",a1d94b8a95a461fb992f71fb2dfd575b0fe2afe5,2025-02-08 07:21:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,234992
2025-02-08,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-26,GUATEMALA,YES,2019-12-04,1985,GUATEMALA,Male,"NBG GENERAL AREA, NON-SPECIFIC",a898be58571b25e3fa969c9ad3dc6dbbe506dfc0,2025-02-08 08:18:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,244846
2025-02-08,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Probation and Parole,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-24,GUATEMALA,YES,2025-03-17,2004,GUATEMALA,Male,"CIP GENERAL AREA, NON-SPECIFIC",04df3449acdf133c4ab89ffff7f91d4513072780,2025-02-08 09:51:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,7101
2025-02-08,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Located,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-27,"CHINA, PEOPLES REPUBLIC OF",YES,2019-04-11,1990,"CHINA, PEOPLES REPUBLIC OF",Male,ERIE COUNTY,868fd941e558a4d08520ad015c0de25d20a895b6,2025-02-08 12:31:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,195198
2025-02-08,NEW YORK,Buffalo Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1987,ECUADOR,Male,ERIE COUNTY,3d7d8281809c8edb7b44d0686230f1f3d45acf73,2025-02-08 13:34:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,89203
2025-02-08,NEW YORK,Buffalo Area of Responsibility,Non-Detained Docket Control,ICE,Non-Custodial Arrest,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-02-25,MEXICO,YES,2017-10-18,1982,MEXICO,Male,ERIE COUNTY,6f03b2bbc3f4690853a1b1c8afc90c80a096e4fb,2025-02-08 15:43:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,160996
2025-02-08,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,Non-Custodial Arrest,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-03-22,MEXICO,YES,2025-03-21,1988,GUATEMALA,Male,ALBANY COUNTY,270fffb73c2d35951b6ba7fd621b4934867e4fa8,2025-02-08 18:00:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,56828
2025-02-09,NEW YORK,Buffalo Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1995,ECUADOR,Male,ERIE COUNTY,4df87d1e7ea16c1d4c2809a210758e564ab102e7,2025-02-09 09:10:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,113253
2025-02-09,NEW YORK,Buffalo Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1998,ECUADOR,Female,ERIE COUNTY,b597f232b4cd400046a57668c80b81126605e114,2025-02-09 09:37:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,263601
2025-02-09,NEW YORK,Buffalo Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2012,ECUADOR,Female,ERIE COUNTY,7b677a8baff7c6b303abeca7b26e94e90d4dc9ca,2025-02-09 09:51:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,179213
2025-02-09,NEW YORK,Buffalo Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2014,ECUADOR,Female,ERIE COUNTY,0f0987515b5201487de70e9b279aa9039ba90232,2025-02-09 10:07:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,21919
2025-02-09,NEW YORK,Buffalo Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2019,ECUADOR,Male,ERIE COUNTY,894fe22b6c10b1c5659a4bd04846b9482bf32e86,2025-02-09 10:12:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,199304
2025-02-09,NEW YORK,Buffalo Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,1988,UNKNOWN,Male,ERIE COUNTY,37e77b3364aab2d3dfd0c385dd1c85c90a0cddcf,2025-02-09 10:37:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,81172
2025-02-09,NEW YORK,Buffalo Area of Responsibility,ERO Criminal Alien Program,ICE,Located,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-03-03,MEXICO,YES,2021-04-26,1985,MEXICO,Male,ERIE COUNTY,4e77c720f45f82d1377ddfed4409cd47994718f9,2025-02-09 11:35:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,113984
2025-02-09,NEW YORK,Buffalo Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2000,ECUADOR,Male,ERIE COUNTY,66950c97c32c799880361dd57f0eece4ecb3e03c,2025-02-09 13:04:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,148710
2025-02-10,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,1 Convicted Criminal,ACTIVE,[8C] Excludable / Inadmissible - Administrative Final Order Issued,,,NO,,1981,MEXICO,Male,"NBG GENERAL AREA, NON-SPECIFIC",3940de02508385955e23473449dc186e5bce52db,2025-02-10 08:13:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,83116
2025-02-10,NEW YORK,New York City Area of Responsibility,ERO Criminal Alien Program,ICE,Located,1 Convicted Criminal,6-Deported/Removed - Deportability,[10] Visa Waiver Deportation / Removal,2025-03-18,CHILE,YES,2025-02-10,1995,CHILE,Male,"CIP GENERAL AREA, NON-SPECIFIC",ea910a3f370cd758016a9c70ea5304885b972237,2025-02-10 08:25:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,340673
2025-02-10,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Non-Custodial Arrest,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-04-22,ECUADOR,YES,2025-02-24,1980,ECUADOR,Male,"NDD - 26 FEDERAL PLAZA NY, NY",d4442b2980cb0b2a6e026988b7d6d54f74aee76d,2025-02-10 08:57:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,308415
2025-02-10,NEW YORK,New York City Area of Responsibility,Alternatives to Detention,ICE,Located,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8G] Expedited Removal - Credible Fear Referral,2025-02-24,MEXICO,YES,2024-05-20,1979,VENEZUELA,Male,"CIP GENERAL AREA, NON-SPECIFIC",24ad2daa3acac8baa705be88535b447e7fc6f429,2025-02-10 09:00:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,53346
2025-02-10,NEW YORK,New York City Area of Responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,8-Excluded/Removed - Inadmissibility,[8G] Expedited Removal - Credible Fear Referral,2025-02-24,MEXICO,YES,2024-10-28,2003,VENEZUELA,Male,"NDD - 26 FEDERAL PLAZA NY, NY",1acb8ac96829eb0500c9e2d1518d87435de3a53f,2025-02-10 09:36:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,39026
2025-02-10,NEW YORK,New York City Area of Responsibility,Fugitive Operations,ICE,Located,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[16] Reinstated Final Order,2025-02-20,ECUADOR,YES,2010-08-04,1983,ECUADOR,Male,"NBG GENERAL AREA, NON-SPECIFIC",17e9b8223c16b1d653e02db19fc5b1d88e21a33d,2025-02-10 10:18:18 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,34870
2025-02-10,NEW YORK,New York City Area of Responsibility,Non-Detained Docket Control,ICE,Law Enforcement Agency Response Unit,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,2009,UZBEKISTAN,Female,"NDD - 26 FEDERAL PLAZA NY, NY",8116d1faa0dbc261018b95213b2902221b688cb6,2025-02-10 10:55:00 UTC,FALSE,ERO Admin Arrests_LESA-STU-FINAL Release_raw.xlsx,Admin Arrests,187391
